6
Insert(-416.24,Value0)
Insert(-385.24,Value1)
Insert(492.67,Value2)
Insert(-458.08,Value3)
Insert(-362.1,Value4)
Insert(-411.43,Value5)
Insert(-449.53,Value6)
Insert(97.4,Value7)
Insert(64.73,Value8)
Insert(27.37,Value9)
Insert(437.49,Value10)
Insert(230.55,Value11)
Insert(251.11,Value12)
Insert(433.92,Value13)
Insert(311.0,Value14)
Insert(435.2,Value15)
Insert(105.88,Value16)
Insert(-403.61,Value17)
Insert(-47.84,Value18)
Insert(426.84,Value19)
Insert(143.98,Value20)
Insert(100.15,Value21)
Insert(-390.13,Value22)
Insert(42.02,Value23)
Insert(-253.57,Value24)
Insert(-234.56,Value25)
Insert(-74.57,Value26)
Insert(465.39,Value27)
Insert(-281.04,Value28)
Insert(-49.58,Value29)
Insert(-494.01,Value30)
Insert(458.84,Value31)
Insert(-303.81,Value32)
Insert(473.7,Value33)
Insert(72.12,Value34)
Insert(-420.12,Value35)
Insert(-46.23,Value36)
Insert(348.98,Value37)
Insert(492.69,Value38)
Insert(395.79,Value39)
Insert(-200.43,Value40)
Insert(301.29,Value41)
Insert(0.89,Value42)
Insert(-353.34,Value43)
Insert(89.62,Value44)
Insert(-442.91,Value45)
Insert(-436.92,Value46)
Insert(-4.66,Value47)
Insert(22.75,Value48)
Insert(26.72,Value49)
Insert(1.04,Value50)
Insert(-447.49,Value51)
Insert(-266.69,Value52)
Insert(-262.62,Value53)
Insert(61.27,Value54)
Insert(481.65,Value55)
Insert(284.91,Value56)
Insert(-254.73,Value57)
Insert(-145.85,Value58)
Insert(360.5,Value59)
Insert(54.56,Value60)
Insert(123.31,Value61)
Insert(312.26,Value62)
Insert(-268.19,Value63)
Insert(-482.76,Value64)
Insert(490.62,Value65)
Insert(-312.65,Value66)
Insert(-332.83,Value67)
Insert(-354.15,Value68)
Insert(-344.44,Value69)
Insert(-241.39,Value70)
Insert(37.78,Value71)
Insert(191.5,Value72)
Insert(15.52,Value73)
Insert(-288.65,Value74)
Insert(293.27,Value75)
Insert(208.16,Value76)
Insert(-185.19,Value77)
Insert(76.48,Value78)
Insert(-401.16,Value79)
Insert(-149.98,Value80)
Insert(191.6,Value81)
Insert(-489.76,Value82)
Insert(-347.03,Value83)
Insert(-0.31,Value84)
Insert(-338.7,Value85)
Insert(-13.78,Value86)
Insert(-369.15,Value87)
Insert(-172.01,Value88)
Insert(427.32,Value89)
Insert(-415.37,Value90)
Insert(494.98,Value91)
Insert(152.43,Value92)
Insert(287.36,Value93)
Insert(495.68,Value94)
Insert(495.87,Value95)
Insert(336.83,Value96)
